passage_id,question,passage
1997_783.txt_Art. 24,Kto składa wniosek o wpis produktów do rejestrów produktów?,"Art. 24. 1. Wniosek o wpis produktów do rejestrów produktów składa producent lub importer. 2. Wniosek, o którym mowa w ust. 1, powinien zawierać: 1) imię, nazwisko i adres albo nazwę i adres siedziby wnioskodawcy, 2) informacje, o których mowa w art. 21 ust. 5 i 6, 3) informacje dotyczące skuteczności działania produktów, 4) uzasadnienie obecności w produktach każdego ze składników, jeżeli dodatek paszowy jest mieszaniną substancji czynnych, 5) opis metodyki postępowania analitycznego mającego na celu określenie zawartości substancji czynnej w produkcie, a także w premiksach i mieszankach paszowych zawierających ten produkt. 3. Do wniosku, o którym mowa w ust. 1, należy dołączyć wyniki badań, o których mowa w art. 23 ust. 2 lub 3. "
2002_110.txt_Art. 40,Jakie dane obejmuje rejestr detektywów?,"Art. 40. 1. Minister właściwy do spraw wewnętrznych prowadzi rejestr osób, którym wydano licencje, zwane dalej ""rejestrem detektywów"". 2. Rejestr detektywów obejmuje następujące dane: 1) imię i nazwisko, 2) adres zamieszkania , 3) numer licencji i datę jej wydania, 4) datę zawieszenia lub cofnięcia licencji. 3. Rejestr detektywów jest jawny. "
1997_781.txt_Art. 5,Pod jakim warunkiem współwłaściciele mogą dokonać podziału nieruchomości?,"Art. 5. Jeżeli powierzchnia gruntu zabudowanego budynkiem, w którym wyodrębniono własność lokali, jest większa niż powierzchnia niezbędna do korzystania z niego, współwłaściciele mogą dokonać podziału tej nieruchomości. "
1998_1118.txt_Art. 92,Czy zmiana wysokości emerytur w ramach waloryzacji następuje z urzędu?,"Art. 92. Zmiana wysokości emerytur i rent w ramach waloryzacji następuje z urzędu, a jeżeli wypłata ich była wstrzymana "" po jej wznowieniu, z uwzględnieniem wszystkich kolejnych waloryzacji przypadających w okresie wstrzymania wypłaty. "
1995_446.txt_Art. 6,Kto określi wykaz organizmów szkodliwych podlegających obowiązkowi zwalczania?,"Art. 6. Minister Rolnictwa i Gospodarki Żywnościowej, w porozumieniu z Ministrem Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa, określi, w drodze rozporządzenia, wykaz organizmów szkodliwych podlegających obowiązkowi zwalczania. Rozdział 3 Przywóz, wywóz i przewóz roślin, produktów roślinnych i przedmiotów "
1997_555.txt_Art. 607,"Kto jest właściwy do rozstrzygania wniosków państwa obcego, dotyczących wydania przedmiotów stanowiących dowody rzeczowe?","Art. 607. § 1. Do rozstrzygania wniosków państwa obcego, dotyczących wydania przedmiotów stanowiących dowody rzeczowe lub uzyskanych w wyniku przestępstwa, właściwy jest prokurator lub sąd w zależności od tego, do czyjego rozporządzenia przedmioty te zostały zdeponowane. Przepis art. 588 § 2 i 4 stosuje się odpowiednio. § 2. Postanowienie o wydaniu przedmiotów powinno wymieniać rzeczy, które ulegają wydaniu państwu obcemu, oraz wskazywać rzeczy podlegające zwrotowi po ukończeniu postępowania karnego, prowadzonego przez organy państwa obcego. Rozdział 66 Przejęcie i przekazanie osób skazanych do wykonania wyroku"" "
1995_654.txt_Art. 7,W jaki sposób Prezes Narodowego Banku Polskiego określi obowiązkowy zakres informacji dotyczących stanu oszczędności zgromadzonych na rachunkach oszczędnościowo-kredytowych?,"Art. 7. Prezes Narodowego Banku Polskiego określi, w drodze zarządzenia, obowiązkowy zakres informacji dotyczących stanu oszczędności zgromadzonych na rachunkach oszczędnościowo-kredytowych, wysokości udzielonych kredytów kontraktowych i terminowości ich spłat oraz przychodów i kosztów banków z tytułu prowadzenia kas mieszkaniowych. Rozdział 2 Umowa o kredyt kontraktowy "
1997_686.txt_Art. 1,Jaki jest limit na ubytki dochodów budżetu państwa z tytułu cła?,"Art. 1. 1. Ustanowienie przez Radę Ministrów, na podstawie odrębnych przepisów, kontyngentów taryfowych oraz plafonów taryfowych dla towarów przywożonych na polski obszar celny nie może spowodować ubytków dochodów budżetu państwa z tytułu cła na kwotę większą niż 920.000 tys. zł, w tym 200.000 tys. zł w związku z ustanowieniem kontyngentów taryfowych oraz plafonów taryfowych niewynikających z zobowiązań międzynarodowych oraz innych zobowiązań zagranicznych Rzeczypospolitej Polskiej. 2. Limit, o którym mowa w ust. 1, nie dotyczy kontyngentów taryfowych oraz pla fonów taryfowych wiążących się z importem interwencyjnym podstawowych pro duktów żywnościowych w przypadku wystąpienia niekorzystnych warunków agro meteorologicznych, importem towarów o charakterze strategicznym oraz towarów związanych z modernizacją Sił Zbrojnych Rzeczypospolitej Polskiej. "
1998_602.txt_Art. 190,W skutek czego następuje wygaśnięcie mandatu radnego?,"Art. 190. 1. Wygaśnięcie mandatu radnego następuje wskutek: 1) odmowy złożenia ślubowania, 2) pisemnego zrzeczenia się mandatu, 3) utraty prawa wybieralności lub braku tego prawa w dniu wyborów, 4) prawomocnego wyroku sądu, orzeczonego za przestępstwo popełnione z winy umyślnej, 5) śmierci. 2. Wygaśnięcie mandatu radnego w przypadkach określonych w ust. 1 stwierdza rada w drodze uchwały, najpóźniej w 3 miesiące od wystąpienia przyczyny wygaśnięcia mandatu. 3. W przypadkach określonych w ust. 1 pkt 1 i 3 przed podjęciem uchwały o wygaśnięciu mandatu należy umożliwić radnemu złożenie wyjaśnień. 4. Uchwałę rady o wygaśnięciu mandatu radnego doręcza się niezwłocznie zainteresowanemu i przesyła wojewodzie oraz wojewódzkiemu komisarzowi wyborczemu. "
"2003_661.txt_Art.
6",Do kogo stosuje się przepis dotyczący przekazania Prezesowi Urzędu Transportu Kolejowego?," Art. 6. Przewoźnicy kolejowi, zarządcy infrastruktury, użytkownicy bocznic kolejowych i przedsiębiorcy wykonujący przewóz w obrębie bocznicy kolejowej, którzy w dniu wejścia w życie niniejszej ustawy zatrudniają lub korzystają z usług maszynistów lub prowadzących pojazdy kolejowe, świadczących pracę lub usługi na rzecz więcej niż jednego przewoźnika kolejowego, zarządcy infrastruktury, użytkownika bocznicy kolejowej lub przedsiębiorcy wykonującego przewozy w obrębie bocznicy kolejowej, przekażą Prezesowi Urzędu Transportu Kolejowego oświadczenia, o których mowa w art. 22ca ust. 1 pkt 1 ustawy, o której mowa w art. 1, w brzmieniu nadanym niniejszą ustawą, w terminie 2 miesięcy od dnia wejścia w życie niniejszej ustawy. Przepis ten stosuje się również do przewoźników kolejowych, zarządców infrastruktury, użytkowników bocznicy kolejowej i przedsiębiorców wykonujących przewozy w obrębie bocznicy kolejowej, którzy zatrudniają lub korzystają z usług maszynistów pojazdów trakcyjnych posiadających uprawnienia do prowadzenia pojazdu kolejowego, wydane na podstawie art. 22 ust. 2 ustawy, o której mowa w ust. 1, w brzmieniu obowiązującym do dnia 3 grudnia 2010 r. "
2004_623.txt_Art. 9,Co zawiera zgłoszenie ciężkiego działania niepożądanego do ośrodka administrującego?,"Art. 9. 1. Ciężkie działania niepożądane zgłasza się do ośrodka administrującego. 2. W przypadku gdy zgłoszenia ciężkiego działania niepożądanego do ośrodka administrującego dokonuje użytkownik końcowy, zgłoszenie to zawiera: 1) nazwę produktu kosmetycznego, którego stosowanie mogło spowodować ciężkie działanie niepożądane, oraz numer partii tego produktu; 2) dane osobowe tego użytkownika: a) imię i nazwisko, b) wiek, c) wykonywany przez niego zawód, o ile jest związany ze stosowaniem tego produktu kosmetycznego, d) adres zamieszkania lub adres do korespondencji, e) adres poczty elektronicznej, numer telefonu, jeżeli posiada; 3) inne dane podane przez użytkownika końcowego w związku ze zgłoszeniem; 4) opis ciężkiego działania niepożądanego oraz, jeżeli jest to uzasadnione, inne informacje dotyczące stanu zdrowia użytkownika końcowego. 3. Ośrodek administrujący dokonuje weryfikacji danych, o których mowa w ust. 2 pkt 1, 3 i 4, w celu stwierdzenia, czy zgłoszenie dotyczy ciężkiego działania niepożądanego, o którym mowa w art. 2 ust. 1 lit. p rozporządzenia nr 1223/2009. 4. W przypadku gdy zgłoszenia ciężkiego działania niepożądanego do ośrodka administrującego dokonuje podmiot wykonujący działalność leczniczą lub osoba wykonująca zawód medyczny w tym podmiocie, zgłoszenie to zawiera: 1) nazwę produktu kosmetycznego, którego stosowanie mogło spowodować ciężkie działanie niepożądane oraz numer partii tego produktu; 2) opis ciężkiego działania niepożądanego; 3) wiek i zawód wykonywany przez użytkownika końcowego, o ile jest on związany ze stosowaniem tego produktu kosmetycznego – jeżeli zostały podane. "
2001_627.txt_Art. 268,Do czego są obowiązane właściwe organy Państwowej Straży Pożarnej w razie wystąpienia awarii przemysłowej?,"Art. 268. Właściwe organy Państwowej Straży Pożarnej w razie wystąpienia awarii przemysłowej są obowiązane do: 1) podjęcia działań operacyjno-ratowniczych we współpracy z prowadzącym zakład, 2) zebrania informacji niezbędnych do dokonania analizy awarii i sformułowania zaleceń dla prowadzącego zakład, 3) sprawdzenia, czy prowadzący zakład podjął wszystkie konieczne środki zaradcze, 4) opracowania zaleceń dotyczących zastosowania w przyszłości określonych środków zapobiegawczych, 5) sprawdzenia, czy prowadzący zakład wdrożył zalecenia właściwego organu Państwowej Straży Pożarnej. "
2000_1156.txt_Art. 22,Co może być dokumentem określającym niezbędny dla bezpieczeństwa morskiego skład załogi?,"Art. 22. 1. Skład załogi statku niezbędny dla bezpieczeństwa morskiego ustala dyrektor urzędu morskiego właściwego dla portu macierzystego statku i potwierdza: 1) wydając certyfikat bezpiecznej obsługi statku dla statków podlegających Konwencji SOLAS, 2) dokonując wpisu w karcie bezpieczeństwa statku dla statków innych niż określone w pkt 1. 2. Na wniosek armatora statku niepodlegającego Konwencji SOLAS, ale uprawiającego żeglugę międzynarodową, dokumentem określającym niezbędny dla bezpieczeństwa morskiego skład załogi może być certyfikat bezpiecznej obsługi. "
1995_436.txt_Art. 12,Co należy do wyłącznej właściwości rady powiatu?,"Art. 12. Do wyłącznej właściwości rady powiatu należy: 1) stanowienie aktów prawa miejscowego, w tym statutu powiatu, 2) wybór i odwołanie zarządu, 3) powoływanie i odwoływanie, na wniosek starosty, sekretarza powiatu i skarbnika powiatu, będącego głównym księgowym budżetu, 4) stanowienie o kierunkach działania zarządu powiatu oraz rozpatrywanie sprawozdań z działalności zarządu, w tym z działalności finansowej, 5) uchwalanie budżetu powiatu, 6) rozpatrywanie sprawozdania z wykonania budżetu oraz podejmowanie uchwały w sprawie udzielenia lub nieudzielenia absolutorium dla zarządu z tego tytułu, 7) podejmowanie uchwał w sprawach wysokości podatków i opłat w granicach określonych ustawami, 8) podejmowanie uchwał w sprawach majątkowych powiatu dotyczących: a) zasad nabycia, zbycia i obciążania nieruchomości oraz ich wydzierżawiania lub wynajmowania na okres dłuższy niż trzy lata, o ile ustawy szczególne nie stanowią inaczej, b) emitowania obligacji oraz określania zasad ich zbywania, nabywania i wykupu, c) zaciągania długoterminowych pożyczek i kredytów, d) ustalania maksymalnej wysokości pożyczek i kredytów krótkoterminowych zaciąganych przez zarząd oraz maksymalnej wysokości pożyczek i poręczeń udzielanych przez zarząd w roku budżetowym, e) zobowiązań w zakresie podejmowania inwestycji i remontów o wartości przekraczającej granicę ustaloną corocznie przez radę, f) tworzenia i przystępowania do związków, stowarzyszeń, fundacji i spółdzielni oraz ich rozwiązywania lub występowania z nich, g) tworzenia i przystępowania do spółek, ich rozwiązywania i występowania z nich oraz określania zasad wnoszenia wkładów oraz obejmowania, nabywania i zbywania udziałów i akcji, h) współdziałania z innymi powiatami i z gminami, jeżeli związane jest to z koniecznością wydzielenia majątku, i) tworzenia, przekształcania i likwidacji jednostek organizacyjnych oraz wyposażania ich w majątek, 9) określanie wysokości sumy, do której zarząd może samodzielnie zaciągać zobowiązania, 10) podejmowanie uchwał w sprawach herbu powiatu i flagi powiatu, 11) podejmowanie uchwał w innych sprawach zastrzeżonych ustawami do kompetencji rady powiatu. "
1995_436.txt_Art. 72,Jakie przepisy stosuje się do gospodarki finansowej związku powiatów?,Art. 72. 1. Do gospodarki finansowej związku powiatów stosuje się odpowiednio przepisy o gospodarce finansowej powiatu. 2. Plan finansowy związku uchwala zgromadzenie związku. 
1994_344.txt_Art. 53,Co jest składane w pierwszym etapie przetargu dwustopniowego?,"Art. 53. W przetargu dwustopniowym w pierwszym etapie dostawcy i wykonawcy składają oferty wstępne bez podawania ceny, a zamawiający może żądać od dostawców i wykonawców określenia parametrów przedmiotu zamówienia. Drugi etap jest przetargiem, którego zasięg jest ograniczony do wybranych oferentów i może być poprzedzony negocjacjami zamawiającego z oferentami. "
1999_95.txt_Art. 18,Która jednostka organizacyjna wyznacza osobę odpowiedzialną za nadzorowanie i kontrolę w zakresie wykonywania przez przedsiębiorcę obowiązku ochrony przekazanych im informacji niejawnych?,"Art. 18. 1. Za ochronę informacji niejawnych odpowiada kierownik jednostki organizacyjnej, w której takie informacje są wytwarzane, przetwarzane, przekazywane lub przechowywane. 2. Kierownikowi jednostki organizacyjnej podlega bezpośrednio pełnomocnik do spraw ochrony informacji niejawnych, zwany dalej ""pełnomocnikiem ochrony"", który odpowiada za zapewnienie przestrzegania przepisów o ochronie informacji niejawnych. 3. Pełnomocnikiem ochrony w jednostce organizacyjnej może być osoba, która: 1) posiada obywatelstwo polskie, 2) posiada co najmniej średnie wykształcenie, 3) uzyskała poświadczenie bezpieczeństwa, o którym mowa w art. 36 ust. 2, wydane przez służby ochrony państwa na wniosek kierownika jednostki organizacyjnej, 4) odbyła przeszkolenie w zakresie ochrony informacji niejawnych. 4. Pełnomocnik ochrony kieruje wyodrębnioną wyspecjalizowaną komórką organizacyjną do spraw ochrony informacji niejawnych, zwaną dalej ""pionem ochrony"", do której zadań należy: 1) zapewnienie ochrony informacji niejawnych, 2) ochrona systemów i sieci teleinformatycznych, 3) zapewnienie ochrony fizycznej jednostki organizacyjnej, 4) kontrola ochrony informacji niejawnych oraz przestrzegania przepisów o ochronie tych informacji, 5) okresowa kontrola ewidencji, materiałów i obiegu dokumentów, 6) opracowywanie planu ochrony jednostki organizacyjnej i nadzorowanie jego realizacji, 7) szkolenie pracowników w zakresie ochrony informacji niejawnych według zasad określonych w rozdziale 8. 5. Pracownikiem pionu ochrony w jednostce organizacyjnej może być osoba, która: 1) posiada obywatelstwo polskie, 2) uzyskała poświadczenie bezpieczeństwa, o którym mowa w art. 36 ust. 2, 3) odbyła przeszkolenie w zakresie ochrony informacji niejawnych. 6. Pełnomocnik ochrony, w zakresie realizacji swoich zadań, w razie wprowadzenia stanu nadzwyczajnego, ma prawo żądać od komórek organizacyjnych w swojej jednostce organizacyjnej udzielenia natychmiastowej pomocy. 7. W zakresie realizacji swoich zadań pełnomocnik ochrony współpracuje z właściwymi jednostkami i komórkami organizacyjnymi służb ochrony państwa. Pełnomocnik ochrony na bieżąco informuje kierownika jednostki organizacyjnej o przebiegu tej współpracy. 8. Pełnomocnik ochrony opracowuje plan postępowania z materiałami zawierającymi informacje niejawne stanowiące tajemnicę państwową w razie wprowadzenia stanu nadzwyczajnego. 9. Pełnomocnik ochrony podejmuje działania zmierzające do wyjaśnienia okoliczności naruszenia przepisów o ochronie informacji niejawnych zawiadamiając o tym kierownika jednostki organizacyjnej, a w przypadku naruszenia przepisów o ochronie informacji niejawnych, oznaczonych klauzulą ""poufne"" lub wyższą, również właściwą służbę ochrony państwa. Rozdział 4 Klasyfikowanie informacji niejawnych. Klauzule tajności "
